<file>
<4>{0}[  135.958267] Freezing remaining freezable tasks ... (elapsed 0.01 seconds) done.
<7>{0}[  136.606941] platform s3c64xx-rtc: resume
<7>{0}[  136.606973] xmm_modem xmm_modem: resume
<7>{0}[  136.606993] wake disabled for irq 381
<7>{0}[  136.607012] wake disabled for irq 376
<7>{0}[  136.607045] s3c-usbgadget s3c-usbgadget: resume
<7>{0}[  136.607088] s5p-fimg2d s5p-fimg2d: resume
<7>{0}[  136.607120] exynos-sysmmu exynos-sysmmu.15: resume
<7>{0}[  136.607153] usb_detect usb_detect: resume
<7>{0}[  136.607185] s3c-adc exynos4412-adc: resume
<7>{0}[  136.607234] s3c-hwmon s3c-hwmon: resume
<7>{0}[  136.607265] ublox-gps ublox-gps: resume
<7>{0}[  136.607297] s5p-jpeg m03x-jpeg: resume
<7>{0}[  136.607975] switch-gpio switch-gpio: resume
<7>{0}[  136.608019] bt_ctr bt_ctr: resume
<7>{0}[  136.608051] exynos-cpufreq exynos4412-cpufreq: resume
<7>{0}[  136.608084] exynos4-ppmu exynos4-ppmu.4: resume
<7>{0}[  136.608118] exynos4-ppmu exynos4-ppmu.5: resume
<7>{0}[  136.608152] exynos4-ppmu exynos4-ppmu.3: resume
<7>{0}[  136.608186] exynos-busfreq exynos-busfreq: resume
<7>{0}[  136.608219] exynos4-tmu exynos4x12-tmu: resume
<6>{0}[  136.609246] exynos4x12_tmu_initialize: triminfo reg = 0x00000032, value = 50
<7>{0}[  136.619300] s3c24xx-pwm s3c24xx-pwm.1: resume
<7>{0}[  136.619390] s5p-rotator s5p-rotator: resume
<7>{0}[  136.619423] m03x-battery m03x-battery: resume
<7>{0}[  136.619456] ram_console ram_console: resume
<7>{0}[  136.619488] logger logger: resume
<7>{0}[  136.619519] s3c-pl330 s3c-pl330.0: resume
<7>{0}[  136.619550] s3c-pl330 s3c-pl330.1: resume
<7>{0}[  136.619581] s3c-pl330 s3c-pl330.2: resume
<7>{0}[  136.619613] arm-pmu arm-pmu.0: resume
<7>{0}[  136.619644] s5pv210-uart s5pv210-uart.0: resume
<7>{0}[  136.619711] s5pv210-uart s5pv210-uart.1: resume
<7>{0}[  136.619775] s5pv210-uart s5pv210-uart.2: resume
<7>{0}[  136.619838] s5pv210-uart s5pv210-uart.3: resume
<7>{0}[  136.620201] i2c i2c-8: resume
<7>{0}[  136.620235] s5p_mhl 8-003b: resume
<7>{0}[  136.620267] s5p_mhl 8-003f: resume
<7>{0}[  136.620299] s5p_mhl 8-004b: resume
<7>{0}[  136.620330] s5p_mhl 8-0066: resume
<7>{0}[  136.620361] i2c i2c-9: resume
<7>{0}[  136.620392] lis3dh 9-0019: resume
<7>{0}[  136.620425] i2c i2c-10: resume
<7>{0}[  136.620455] akm8975 10-000c: resume
<7>{0}[  136.620487] i2c i2c-11: resume
<7>{0}[  136.620517] l3g4200d 11-0069: resume
<7>{0}[  136.620549] i2c i2c-12: resume
<7>{0}[  136.620580] gp2ap020a00f 12-0039: resume
<7>{0}[  136.620612] i2c i2c-13: resume
<7>{0}[  136.620642] bu26507-led 13-0074: resume
<7>{0}[  136.642522] bu26507-led bu26507-led.0: resume
<7>{0}[  136.642559] bu26507-led bu26507-led.1: resume
<7>{0}[  136.642593] bu26507-led bu26507-led.2: resume
<7>{0}[  136.642625] bu26507-led bu26507-led.3: resume
<7>{0}[  136.642657] bu26507-led bu26507-led.4: resume
<7>{0}[  136.642689] bu26507-led bu26507-led.5: resume
<7>{0}[  136.642720] bu26507-led bu26507-led.6: resume
<7>{0}[  136.642752] bu26507-led bu26507-led.7: resume
<7>{0}[  136.642784] bu26507-led bu26507-led.8: resume
<7>{0}[  136.642815] bu26507-led bu26507-led.9: resume
<7>{0}[  136.642846] bu26507-led bu26507-pwm: resume
<7>{0}[  136.642878] bu26507-led bu26507-slope: resume
<7>{0}[  136.642910] i2c i2c-0: resume
<7>{0}[  136.642940] wm8994 0-001a: resume
<7>{0}[  136.655157] a1028_soc 0-003e: resume
<7>{0}[  136.655195] i2c i2c-1: resume
<7>{0}[  136.655227] s5p_ddc 1-003a: resume
<7>{0}[  136.655259] i2c i2c-3: resume
<7>{0}[  136.655290] max77686 3-0009: resume
<7>{0}[  136.655311] wake disabled for irq 356
<7>{0}[  136.656322] dummy 3-0006: resume
<7>{0}[  136.656358] max77686-pmic max77686-pmic: resume
<7>{0}[  136.656876] max77686-rtc max77686-rtc: resume
<7>{0}[  136.656909] i2c i2c-4: resume
<7>{0}[  136.656941] max77665 4-0066: resume
<7>{0}[  136.656960] wake disabled for irq 357
<7>{0}[  136.657295] dummy 4-0048: resume
<7>{0}[  136.657330] platform max77665-pmic: resume
<7>{0}[  136.657364] max77665-charger max77665-charger: resume
<6>{0}[  136.657383] max77665-charger max77665-charger: max77665_resume
<7>{0}[  136.662483] max77665-haptic max77665-haptic: resume
<6>{0}[  136.662551] [VIB] DEV NAME max77665-haptic 100000000
<7>{0}[  136.667731] torch-led torch-led: resume
<7>{0}[  136.667767] max77665-safeout max77665-safeout: resume
<7>{0}[  136.667882] i2c i2c-5: resume
<7>{0}[  136.667913] bq27541 5-0055: resume
<7>{0}[  136.667932] wake disabled for irq 369
<7>{0}[  136.691195] i2c i2c-6: resume
<7>{0}[  136.691229] atmel_mxt_ts 6-004a: resume
<7>{0}[  136.691262] i2c i2c-7: resume
<7>{0}[  136.691293] M6MO 7-001f: resume
<7>{0}[  136.691324] ov7690 7-0021: resume
<7>{0}[  136.692482] input input0: type resume
<7>{0}[  136.693566] rfkill rfkill0: legacy class resume
<7>{0}[  136.693605] s3c-sdhci s3c-sdhci.3: resume
<7>{0}[  136.693762] bcm4329_wlan bcm4329_wlan: resume
<7>{0}[  136.693841] backlight pwm-backlight: legacy class resume
<7>{0}[  136.694048] mali_dev mali_dev.0: resume
<7>{0}[  136.694753] input input1: type resume
<7>{0}[  136.694811] input input2: type resume
<7>{0}[  136.694866] input input3: type resume
<7>{0}[  136.694932] input input4: type resume
<7>{0}[  136.694974] wm8994-ldo wm8994-ldo.0: resume
<7>{0}[  136.695021] wm8994-ldo wm8994-ldo.1: resume
<7>{0}[  136.695067] wm8994-codec wm8994-codec: resume
<7>{0}[  136.695335] platform wm8994-gpio: resume
<7>{0}[  136.695385] s5p-ehci s5p-ehci: resume
<7>{0}[  136.696115] max77686_reg_enable: id=15, reg=4f, mask=c0, pattern=40
<7>{0}[  136.696957] max77686_reg_enable: id=14, reg=4e, mask=c0, pattern=40
<7>{0}[  136.697675] usb usb1: type resume
<7>{0}[  136.698475] usb 1-2: type resume
<7>{0}[  136.699874] input input5: type resume
<7>{0}[  136.700036] input input6: type resume
<7>{0}[  136.700204] input input7: type resume
<7>{0}[  136.700399] rtc rtc0: legacy class resume
<7>{0}[  136.725824] max77686_rtc_read_time: 112/6/7 4:12:31(6)
<6>{0}[  136.725908] rtc_resume @ (2012-07-07 12:12:31) Shanghai
<6>{0}[  136.730243] rtc_resume: Suspend 4.033 seconds, total 4.033/140.763 (1/35) seconds, 1 times
<7>{0}[  136.738846] alarm alarm: resume
<7>{0}[  136.955994] leds mmc1::: legacy class resume
<7>{0}[  136.956046] leds bu26507-led0: legacy class resume
<7>{0}[  136.956081] leds bu26507-led1: legacy class resume
<7>{0}[  136.956115] leds bu26507-led2: legacy class resume
<7>{0}[  136.956149] leds bu26507-led3: legacy class resume
<7>{0}[  136.956182] leds bu26507-led4: legacy class resume
<7>{0}[  136.956215] leds bu26507-led5: legacy class resume
<7>{0}[  136.956248] leds bu26507-led6: legacy class resume
<7>{0}[  136.956281] leds bu26507-led7: legacy class resume
<7>{0}[  136.956314] leds bu26507-led8: legacy class resume
<7>{0}[  136.956346] leds bu26507-led9: legacy class resume
<7>{0}[  136.956379] leds bu26507-pwm: legacy class resume
<7>{0}[  136.956413] leds bu26507-slope: legacy class resume
<7>{0}[  136.956446] leds torch_led: legacy class resume
<7>{0}[  136.956657] snd-soc-dummy snd-soc-dummy: resume
<7>{0}[  136.956690] samsung-i2s samsung-i2s.4: resume
<7>{0}[  136.956722] soc-audio soc-audio.0: resume
<7>{0}[  136.956873] spdif-dit spdif-dit: resume
<7>{0}[  136.956905] soc-audio soc-audio.1: resume
<7>{0}[  136.956945] mmcblk mmc0:0001: resume
<7>{0}[  136.958378] input input8: type resume
<6>{0}[  136.958570] PM: resume of devices complete after 379.449 msecs
<7>{0}[  136.963747] usb 1-2: completing type resume
<7>{0}[  136.963817] usb usb1: completing type resume
<7>{0}[  136.963856] input input8: completing type resume
<7>{0}[  136.964285] mmcblk mmc0:0001: completing resume
<7>{0}[  136.964313] soc-audio soc-audio.1: completing resume
<7>{0}[  136.964341] spdif-dit spdif-dit: completing resume
<7>{0}[  136.964448] soc-audio soc-audio.0: completing resume
<7>{0}[  136.964476] samsung-i2s samsung-i2s.4: completing resume
<7>{0}[  136.964505] snd-soc-dummy snd-soc-dummy: completing resume
<7>{0}[  136.965068] alarm alarm: completing resume
<7>{0}[  136.965202] input input7: completing type resume
<7>{0}[  136.965243] input input6: completing type resume
<7>{0}[  136.965282] input input5: completing type resume
<7>{0}[  136.965529] s5p-ehci s5p-ehci: completing resume
<7>{0}[  136.965568] platform wm8994-gpio: completing resume
<7>{0}[  136.965596] wm8994-codec wm8994-codec: completing resume
<7>{0}[  136.965636] wm8994-ldo wm8994-ldo.1: completing resume
<7>{0}[  136.965675] wm8994-ldo wm8994-ldo.0: completing resume
<7>{0}[  136.965703] input input4: completing type resume
<7>{0}[  136.965750] input input3: completing type resume
<7>{0}[  136.965788] input input2: completing type resume
<7>{0}[  136.965826] input input1: completing type resume
<7>{0}[  136.966347] mali_dev mali_dev.0: completing resume
<7>{0}[  136.966538] bcm4329_wlan bcm4329_wlan: completing resume
<7>{0}[  136.966567] s3c-sdhci s3c-sdhci.3: completing resume
<7>{0}[  136.966606] input input0: completing type resume
<7>{0}[  136.967472] ov7690 7-0021: completing resume
<7>{0}[  136.967500] M6MO 7-001f: completing resume
<7>{0}[  136.967527] i2c i2c-7: completing resume
<7>{0}[  136.967554] atmel_mxt_ts 6-004a: completing resume
<7>{0}[  136.967582] i2c i2c-6: completing resume
<7>{0}[  136.967608] bq27541 5-0055: completing resume
<7>{0}[  136.967636] i2c i2c-5: completing resume
<7>{0}[  136.967725] max77665-safeout max77665-safeout: completing resume
<7>{0}[  136.967756] torch-led torch-led: completing resume
<7>{0}[  136.967784] max77665-haptic max77665-haptic: completing resume
<7>{0}[  136.967815] max77665-charger max77665-charger: completing resume
<7>{0}[  136.967845] platform max77665-pmic: completing resume
<7>{0}[  136.967873] dummy 4-0048: completing resume
<7>{0}[  136.967901] max77665 4-0066: completing resume
<7>{0}[  136.967928] i2c i2c-4: completing resume
<7>{0}[  136.967956] max77686-rtc max77686-rtc: completing resume
<7>{0}[  136.968351] max77686-pmic max77686-pmic: completing resume
<7>{0}[  136.968380] dummy 3-0006: completing resume
<7>{0}[  136.968408] max77686 3-0009: completing resume
<7>{0}[  136.968435] i2c i2c-3: completing resume
<7>{0}[  136.968462] s5p_ddc 1-003a: completing resume
<7>{0}[  136.968490] i2c i2c-1: completing resume
<7>{0}[  136.968517] a1028_soc 0-003e: completing resume
<7>{0}[  136.968545] wm8994 0-001a: completing resume
<7>{0}[  136.968572] i2c i2c-0: completing resume
<7>{0}[  136.968600] bu26507-led bu26507-slope: completing resume
<7>{0}[  136.968629] bu26507-led bu26507-pwm: completing resume
<7>{0}[  136.968657] bu26507-led bu26507-led.9: completing resume
<7>{0}[  136.968686] bu26507-led bu26507-led.8: completing resume
<7>{0}[  136.968715] bu26507-led bu26507-led.7: completing resume
<7>{0}[  136.968743] bu26507-led bu26507-led.6: completing resume
<7>{0}[  136.968772] bu26507-led bu26507-led.5: completing resume
<7>{0}[  136.968801] bu26507-led bu26507-led.4: completing resume
<7>{0}[  136.968830] bu26507-led bu26507-led.3: completing resume
<7>{0}[  136.968858] bu26507-led bu26507-led.2: completing resume
<7>{0}[  136.968887] bu26507-led bu26507-led.1: completing resume
<7>{0}[  136.968916] bu26507-led bu26507-led.0: completing resume
<7>{0}[  136.968945] bu26507-led 13-0074: completing resume
<7>{0}[  136.968973] i2c i2c-13: completing resume
<7>{0}[  136.969001] gp2ap020a00f 12-0039: completing resume
<7>{0}[  136.969029] i2c i2c-12: completing resume
<7>{0}[  136.969056] l3g4200d 11-0069: completing resume
<7>{0}[  136.969084] i2c i2c-11: completing resume
<7>{0}[  136.969112] akm8975 10-000c: completing resume
<7>{0}[  136.969139] i2c i2c-10: completing resume
<7>{0}[  136.969167] lis3dh 9-0019: completing resume
<7>{0}[  136.969195] i2c i2c-9: completing resume
<7>{0}[  136.969222] s5p_mhl 8-0066: completing resume
<7>{0}[  136.969249] s5p_mhl 8-004b: completing resume
<7>{0}[  136.969276] s5p_mhl 8-003f: completing resume
<7>{0}[  136.969303] s5p_mhl 8-003b: completing resume
<7>{0}[  136.969331] i2c i2c-8: completing resume
<7>{0}[  136.969490] s5pv210-uart s5pv210-uart.3: completing resume
<7>{0}[  136.969520] s5pv210-uart s5pv210-uart.2: completing resume
<7>{0}[  136.969549] s5pv210-uart s5pv210-uart.1: completing resume
<7>{0}[  136.969577] s5pv210-uart s5pv210-uart.0: completing resume
<7>{0}[  136.969607] arm-pmu arm-pmu.0: completing resume
<7>{0}[  136.969635] s3c-pl330 s3c-pl330.2: completing resume
<7>{0}[  136.969663] s3c-pl330 s3c-pl330.1: completing resume
<7>{0}[  136.969691] s3c-pl330 s3c-pl330.0: completing resume
<7>{0}[  136.969720] logger logger: completing resume
<7>{0}[  136.969747] ram_console ram_console: completing resume
<7>{0}[  136.969776] m03x-battery m03x-battery: completing resume
<7>{0}[  136.969806] s5p-rotator s5p-rotator: completing resume
<7>{0}[  136.969835] s3c24xx-pwm s3c24xx-pwm.1: completing resume
<7>{0}[  136.969865] exynos4-tmu exynos4x12-tmu: completing resume
<7>{0}[  136.969894] exynos-busfreq exynos-busfreq: completing resume
<7>{0}[  136.969924] exynos4-ppmu exynos4-ppmu.3: completing resume
<7>{0}[  136.969953] exynos4-ppmu exynos4-ppmu.5: completing resume
<7>{0}[  136.969982] exynos4-ppmu exynos4-ppmu.4: completing resume
<7>{0}[  136.970011] exynos-cpufreq exynos4412-cpufreq: completing resume
<7>{0}[  136.970041] bt_ctr bt_ctr: completing resume
<7>{0}[  136.970125] switch-gpio switch-gpio: completing resume
<7>{0}[  136.970159] s5p-jpeg m03x-jpeg: completing resume
<7>{0}[  136.970188] ublox-gps ublox-gps: completing resume
<7>{0}[  136.970218] s3c-hwmon s3c-hwmon: completing resume
<7>{0}[  136.970247] s3c-adc exynos4412-adc: completing resume
<7>{0}[  136.970275] usb_detect usb_detect: completing resume
<7>{0}[  136.970305] exynos-sysmmu exynos-sysmmu.15: completing resume
<7>{0}[  136.970335] s5p-fimg2d s5p-fimg2d: completing resume
<7>{0}[  136.970363] s3c-usbgadget s3c-usbgadget: completing resume
<7>{0}[  136.970392] xmm_modem xmm_modem: completing resume
<7>{0}[  136.970421] platform s3c64xx-rtc: completing resume
<7>{0}[  136.970449] s3c2410-wdt s3c2410-wdt: completing resume
<7>{0}[  136.970478] s3c-csis s3c-csis.0: completing resume
<7>{0}[  136.970506] platform s5p-mfc-r: completing resume
<7>{0}[  136.970534] platform s5p-mfc-l: completing resume
<7>{0}[  136.970562] s3c-mfc s3c-mfc: completing resume
<7>{0}[  136.970591] s3c-fimc s3c-fimc.3: completing resume
<7>{0}[  136.970619] s3c-fimc s3c-fimc.2: completing resume
<7>{0}[  136.970647] s3c-fimc s3c-fimc.1: completing resume
<7>{0}[  136.970675] s3c-fimc s3c-fimc.0: completing resume
<7>{0}[  136.970704] s5p-tvout-hpd s5p-tvout-hpd: completing resume
<7>{0}[  136.970732] platform s5p-tvout-cec: completing resume
<7>{0}[  136.970761] s5p-tvout s5p-tvout: completing resume
<7>{0}[  136.970789] mx-spdif mx-spdif: completing resume
<7>{0}[  136.970818] samsung-spdif samsung-spdif: completing resume
<7>{0}[  136.970847] mx-audio mx-audio: completing resume
<7>{0}[  136.970875] platform samsung-audio-idma: completing resume
<7>{0}[  136.970905] samsung-audio samsung-audio: completing resume
<7>{0}[  136.970934] samsung-pcm samsung-pcm.1: completing resume
<7>{0}[  136.970963] samsung-i2s samsung-i2s.0: completing resume
<7>{0}[  136.970991] dw_mmc dw_mmc: completing resume
<7>{0}[  136.971019] s5p-mipi-dsim s5p-mipi-dsim.0: completing resume
<7>{0}[  136.971048] s3cfb s3cfb.0: completing resume
<7>{0}[  136.971076] reg-fixed-voltage reg-fixed-voltage.10: completing resume
<7>{0}[  136.971106] reg-fixed-voltage reg-fixed-voltage.9: completing resume
<7>{0}[  136.971136] reg-fixed-voltage reg-fixed-voltage.8: completing resume
<7>{0}[  136.971166] reg-fixed-voltage reg-fixed-voltage.7: completing resume
<7>{0}[  136.971196] reg-fixed-voltage reg-fixed-voltage.6: completing resume
<7>{0}[  136.971226] reg-fixed-voltage reg-fixed-voltage.5: completing resume
<7>{0}[  136.971255] reg-fixed-voltage reg-fixed-voltage.4: completing resume
<7>{0}[  136.971285] reg-fixed-voltage reg-fixed-voltage.3: completing resume
<7>{0}[  136.971315] reg-fixed-voltage reg-fixed-voltage.2: completing resume
<7>{0}[  136.971346] reg-fixed-voltage reg-fixed-voltage.1: completing resume
<7>{0}[  136.971375] reg-fixed-voltage reg-fixed-voltage.0: completing resume
<7>{0}[  136.971405] gpio-keys gpio-keys.0: completing resume
<7>{0}[  136.971434] i2c-gpio i2c-gpio.13: completing resume
<7>{0}[  136.971462] i2c-gpio i2c-gpio.12: completing resume
<7>{0}[  136.971490] i2c-gpio i2c-gpio.11: completing resume
<7>{0}[  136.971518] i2c-gpio i2c-gpio.10: completing resume
<7>{0}[  136.971546] i2c-gpio i2c-gpio.9: completing resume
<7>{0}[  136.971574] i2c-gpio i2c-gpio.8: completing resume
<7>{0}[  136.971603] s3c-i2c s3c2440-i2c.7: completing resume
<7>{0}[  136.971631] s3c-i2c s3c2440-i2c.6: completing resume
<7>{0}[  136.971660] s3c-i2c s3c2440-i2c.5: completing resume
<7>{0}[  136.971688] s3c-i2c s3c2440-i2c.4: completing resume
<7>{0}[  136.971716] s3c-i2c s3c2440-i2c.3: completing resume
<7>{0}[  136.971744] s3c-i2c s3c2440-i2c.1: completing resume
<7>{0}[  136.971773] s3c-i2c s3c2440-i2c.0: completing resume
<7>{0}[  136.971801] samsung-pd samsung-pd.8: completing resume
<7>{0}[  136.971830] samsung-pd samsung-pd.7: completing resume
<7>{0}[  136.971858] samsung-pd samsung-pd.6: completing resume
<7>{0}[  136.971887] samsung-pd samsung-pd.4: completing resume
<7>{0}[  136.971915] samsung-pd samsung-pd.5: completing resume
<7>{0}[  136.971944] samsung-pd samsung-pd.2: completing resume
<7>{0}[  136.971972] samsung-pd samsung-pd.1: completing resume
<7>{0}[  136.972001] samsung-pd samsung-pd.0: completing resume
<7>{0}[  136.972029] wakeup_assist wakeup_assist.0: completing resume
<7>{0}[  136.972059] pwm-backlight pwm-backlight: completing resume
<7>{0}[  136.972089] s3c24xx-pwm s3c24xx-pwm.0: completing resume
<7>{0}[  136.972138] platform reg-dummy: completing resume
<7>{0}[  136.972166] power power.0: completing resume
<7>{0}[  136.972200] PM: Finishing wakeup.
<4>{0}[  136.972213] Restarting tasks ... m03x_tvout_enable_power:[ON]
</file>
